name,roll_number,date_of_birth,gender,school_id,class_name,family_income,family_size,parents_education,has_digital_device,caste,religion
Student_31,S100031,2006-04-12,F,1,7,medium,10,secondary,True,,Christian
Student_32,S100032,2015-02-05,F,1,6,low,10,primary,False,OBC,Buddhist
Student_33,S100033,2008-12-11,M,1,11,high,6,college,False,OBC,Hindu
Student_34,S100034,2006-11-14,F,1,6,low,7,primary,False,ST,Sikh
Student_35,S100035,2013-12-14,M,1,6,low,4,college,True,OBC,Buddhist
Student_36,S100036,2013-03-14,M,1,6,medium,7,illiterate,False,ST,Muslim
Student_37,S100037,2015-02-12,F,1,10,high,4,primary,True,ST,Sikh
Student_38,S100038,2005-03-24,F,1,12,medium,5,secondary,True,SC,Sikh
Student_39,S100039,2005-08-08,M,1,12,medium,7,secondary,True,ST,Hindu
Student_40,S100040,2015-04-13,F,1,8,low,6,secondary,False,,Christian
Student_41,S100041,2005-02-09,M,1,10,medium,2,illiterate,False,OBC,Christian
Student_42,S100042,2011-10-17,M,1,9,high,5,secondary,True,General,Hindu
Student_43,S100043,2013-09-22,M,1,8,medium,3,secondary,False,SC,Christian
Student_44,S100044,2013-05-22,F,1,8,medium,6,college,True,ST,Sikh
Student_45,S100045,2015-07-22,M,1,10,high,6,higher_secondary,True,OBC,Christian
Student_46,S100046,2008-07-26,F,1,9,medium,9,primary,False,ST,Hindu
Student_47,S100047,2009-09-22,F,1,6,low,6,primary,True,ST,Hindu
Student_48,S100048,2005-04-16,M,1,9,medium,5,higher_secondary,False,General,Muslim
Student_49,S100049,2007-11-23,M,1,12,low,8,primary,True,,Sikh
Student_50,S100050,2005-09-08,M,1,9,low,9,college,False,General,Buddhist
Student_51,S100051,2013-07-27,F,1,7,high,9,higher_secondary,False,ST,Christian
Student_52,S100052,2013-08-21,M,1,8,medium,3,secondary,True,OBC,Christian
Student_53,S100053,2010-09-03,M,1,7,low,8,primary,True,SC,Sikh
Student_54,S100054,2011-06-18,F,1,9,low,5,higher_secondary,False,,Hindu
Student_55,S100055,2014-07-16,M,1,8,medium,8,higher_secondary,True,General,Muslim
Student_56,S100056,2009-07-16,M,1,9,medium,8,primary,False,ST,Buddhist
Student_57,S100057,2013-01-13,M,1,6,high,8,primary,False,ST,Hindu
Student_58,S100058,2009-07-11,M,1,9,medium,7,higher_secondary,False,General,Christian
Student_59,S100059,2006-08-01,M,1,8,low,3,illiterate,True,ST,Muslim
Student_60,S100060,2005-10-05,M,1,7,medium,3,college,True,General,Christian
Student_61,S100061,2010-03-20,M,1,12,low,6,illiterate,True,OBC,Buddhist
Student_62,S100062,2015-07-13,M,1,6,high,5,illiterate,False,,Hindu
Student_63,S100063,2014-01-12,F,1,11,medium,3,college,False,SC,Sikh
Student_64,S100064,2012-02-14,F,1,11,medium,4,higher_secondary,True,,Christian
Student_65,S100065,2014-09-25,F,1,9,medium,6,secondary,True,SC,Christian
Student_66,S100066,2012-04-25,F,1,10,high,8,secondary,True,General,Christian
Student_67,S100067,2007-08-07,F,1,12,medium,7,secondary,False,,Hindu
Student_68,S100068,2013-04-03,M,1,11,medium,9,college,True,General,Sikh
Student_69,S100069,2012-01-03,F,1,7,medium,5,secondary,False,General,Buddhist
Student_70,S100070,2013-06-14,F,1,8,high,9,secondary,False,OBC,Muslim
Student_71,S100071,2006-12-07,F,1,6,high,10,primary,True,ST,Sikh
Student_72,S100072,2009-12-19,F,1,6,low,6,primary,False,ST,Christian
Student_73,S100073,2005-12-18,M,1,8,low,2,college,False,ST,Sikh
Student_74,S100074,2006-01-19,F,1,9,medium,9,secondary,True,SC,Christian
Student_75,S100075,2012-02-27,M,1,9,medium,3,college,True,ST,Muslim
Student_76,S100076,2014-05-03,M,1,6,high,8,college,True,,Sikh
Student_77,S100077,2012-08-10,F,1,8,high,2,college,True,ST,Muslim
Student_78,S100078,2009-11-03,M,1,7,low,10,illiterate,True,SC,Sikh
Student_79,S100079,2012-12-20,F,1,8,low,5,secondary,False,General,Hindu
Student_80,S100080,2015-04-09,M,1,9,low,10,primary,True,OBC,Muslim
Student_81,S100081,2006-01-06,F,1,10,high,6,higher_secondary,True,General,Christian
Student_82,S100082,2011-05-17,F,1,9,low,2,higher_secondary,False,,Christian
Student_83,S100083,2005-02-08,M,1,12,high,6,college,True,ST,Sikh
Student_84,S100084,2013-11-15,F,1,7,high,8,higher_secondary,True,General,Christian
Student_85,S100085,2011-06-11,M,1,12,low,7,higher_secondary,False,OBC,Sikh
Student_86,S100086,2013-01-15,M,1,8,medium,7,illiterate,False,,Hindu
Student_87,S100087,2015-09-15,F,1,6,low,10,secondary,False,General,Hindu
Student_88,S100088,2008-05-18,M,1,8,medium,9,illiterate,True,,Muslim
Student_89,S100089,2007-05-18,M,1,10,medium,3,primary,True,General,Hindu
Student_90,S100090,2015-03-16,F,1,10,high,6,higher_secondary,False,General,Muslim
Student_91,S100091,2012-09-05,F,1,7,high,10,primary,True,OBC,Sikh
Student_92,S100092,2010-09-09,M,1,8,high,6,college,False,ST,Sikh
Student_93,S100093,2013-08-12,F,1,10,high,8,higher_secondary,False,ST,Muslim
Student_94,S100094,2014-07-08,F,1,6,medium,9,higher_secondary,False,ST,Sikh
Student_95,S100095,2005-03-17,F,1,12,low,9,illiterate,False,SC,Muslim
Student_96,S100096,2011-11-05,M,1,9,medium,7,college,False,SC,Christian
Student_97,S100097,2015-09-13,F,1,11,high,9,college,True,,Hindu
Student_98,S100098,2008-11-22,F,1,7,high,3,higher_secondary,True,SC,Sikh
Student_99,S100099,2007-12-10,M,1,6,medium,2,secondary,False,OBC,Sikh
Student_100,S100100,2007-04-17,F,1,10,high,4,primary,True,SC,Buddhist
Student_101,S100101,2011-10-22,M,1,9,high,4,primary,False,OBC,Sikh
Student_102,S100102,2009-11-01,F,1,8,high,10,primary,True,General,Christian
Student_103,S100103,2014-05-21,F,1,11,medium,9,secondary,True,General,Sikh
Student_104,S100104,2006-04-13,F,1,10,medium,6,illiterate,False,OBC,Hindu
Student_105,S100105,2014-11-25,M,1,10,high,9,secondary,True,,Christian
Student_106,S100106,2008-11-07,F,1,11,high,4,illiterate,True,OBC,Sikh
Student_107,S100107,2005-10-12,M,1,6,medium,7,higher_secondary,True,ST,Muslim
Student_108,S100108,2013-06-17,F,1,12,low,6,higher_secondary,False,OBC,Hindu
Student_109,S100109,2012-02-05,M,1,12,high,8,college,False,SC,Sikh
Student_110,S100110,2005-05-18,M,1,9,medium,6,college,False,OBC,Hindu
Student_111,S100111,2015-04-16,M,1,10,high,7,college,True,SC,Sikh
Student_112,S100112,2009-11-14,M,1,7,low,2,secondary,False,SC,Hindu
Student_113,S100113,2008-09-05,F,1,9,medium,10,higher_secondary,True,General,Hindu
Student_114,S100114,2012-10-14,F,1,6,high,7,primary,False,General,Muslim
Student_115,S100115,2010-02-22,F,1,10,high,7,illiterate,False,OBC,Muslim
Student_116,S100116,2006-08-03,M,1,11,high,2,illiterate,False,ST,Muslim
Student_117,S100117,2014-04-03,M,1,10,low,5,secondary,True,,Hindu
Student_118,S100118,2009-03-05,F,1,12,low,3,illiterate,True,SC,Christian
Student_119,S100119,2008-10-11,M,1,7,medium,2,primary,False,,Hindu
Student_120,S100120,2006-08-15,F,1,10,high,3,higher_secondary,True,,Hindu
Student_121,S100121,2015-09-10,F,1,11,low,2,higher_secondary,False,General,Hindu
Student_122,S100122,2012-12-15,M,1,6,medium,4,illiterate,True,OBC,Buddhist
Student_123,S100123,2015-10-18,F,1,9,high,10,secondary,False,,Buddhist
Student_124,S100124,2011-02-26,M,1,12,high,10,primary,False,General,Muslim
Student_125,S100125,2011-06-27,F,1,9,medium,3,secondary,False,OBC,Christian
Student_126,S100126,2010-03-22,F,1,6,low,3,illiterate,False,SC,Christian
Student_127,S100127,2007-09-02,F,1,11,low,8,secondary,False,SC,Christian
Student_128,S100128,2014-05-12,M,1,10,high,5,primary,False,ST,Hindu
Student_129,S100129,2010-09-12,M,1,12,medium,5,higher_secondary,True,,Christian
Student_130,S100130,2005-03-09,F,1,8,medium,2,primary,True,,Sikh
Student_131,S100131,2006-03-24,M,1,6,high,10,primary,False,General,Sikh
Student_132,S100132,2010-03-12,F,1,11,medium,3,illiterate,True,ST,Buddhist
Student_133,S100133,2005-11-03,F,1,9,high,8,higher_secondary,False,General,Christian
Student_134,S100134,2008-09-04,F,1,9,low,6,college,False,,Christian
Student_135,S100135,2005-04-13,M,1,6,low,6,primary,True,OBC,Christian
Student_136,S100136,2010-02-01,F,1,11,medium,4,primary,False,,Muslim
Student_137,S100137,2013-09-27,F,1,6,medium,2,higher_secondary,True,General,Hindu
Student_138,S100138,2010-10-14,F,1,11,high,8,secondary,True,General,Hindu
Student_139,S100139,2010-03-26,F,1,12,high,7,illiterate,False,SC,Muslim
Student_140,S100140,2011-10-13,M,1,9,medium,7,primary,False,ST,Hindu
Student_141,S100141,2013-11-04,M,1,12,medium,7,primary,True,SC,Muslim
Student_142,S100142,2009-04-06,M,1,12,high,3,primary,False,General,Buddhist
Student_143,S100143,2014-08-22,F,1,12,high,7,primary,False,SC,Sikh
Student_144,S100144,2012-11-10,F,1,10,low,7,college,True,OBC,Sikh
Student_145,S100145,2012-01-02,F,1,12,medium,3,illiterate,False,General,Buddhist
Student_146,S100146,2013-12-02,F,1,12,high,5,secondary,False,,Muslim
Student_147,S100147,2005-08-04,F,1,11,low,10,primary,True,ST,Sikh
Student_148,S100148,2012-09-17,M,1,8,medium,6,higher_secondary,False,OBC,Buddhist
Student_149,S100149,2005-11-21,F,1,6,medium,3,college,False,OBC,Christian
Student_150,S100150,2015-10-28,M,1,8,low,4,secondary,False,General,Muslim
Student_151,S100151,2014-12-03,F,1,10,medium,7,primary,True,General,Buddhist
Student_152,S100152,2010-01-12,F,1,7,low,7,higher_secondary,True,ST,Muslim
Student_153,S100153,2007-02-10,M,1,10,high,10,illiterate,False,,Muslim
Student_154,S100154,2014-07-05,M,1,7,high,4,higher_secondary,True,General,Christian
Student_155,S100155,2015-12-08,F,1,10,medium,9,primary,True,OBC,Sikh
Student_156,S100156,2008-06-22,F,1,9,medium,8,college,False,ST,Muslim
Student_157,S100157,2014-03-28,F,1,6,high,9,secondary,True,,Hindu
Student_158,S100158,2009-02-25,M,1,8,medium,10,primary,False,SC,Muslim
Student_159,S100159,2012-06-01,F,1,6,medium,10,secondary,True,General,Hindu
Student_160,S100160,2010-04-01,F,1,6,high,7,primary,True,SC,Christian
Student_161,S100161,2012-12-27,M,1,12,high,9,higher_secondary,True,SC,Hindu
Student_162,S100162,2009-04-27,M,1,10,high,10,higher_secondary,True,OBC,Muslim
Student_163,S100163,2009-02-02,M,1,9,high,9,illiterate,True,General,Buddhist
Student_164,S100164,2013-01-21,M,1,11,low,6,higher_secondary,True,,Christian
Student_165,S100165,2008-10-14,M,1,11,high,3,college,False,SC,Buddhist
Student_166,S100166,2013-09-26,M,1,9,medium,2,higher_secondary,False,OBC,Hindu
Student_167,S100167,2010-02-12,M,1,11,high,3,college,False,ST,Hindu
Student_168,S100168,2010-09-11,M,1,12,high,9,higher_secondary,True,ST,Hindu
Student_169,S100169,2012-01-10,M,1,6,low,2,secondary,False,,Sikh
Student_170,S100170,2013-08-09,M,1,12,high,5,secondary,False,SC,Christian
Student_171,S100171,2009-02-26,F,1,9,medium,9,higher_secondary,False,ST,Sikh
Student_172,S100172,2012-06-26,F,1,12,low,8,illiterate,False,,Muslim
Student_173,S100173,2013-05-11,M,1,6,medium,6,secondary,False,,Sikh
Student_174,S100174,2007-12-15,F,1,9,low,7,college,False,OBC,Hindu
Student_175,S100175,2006-11-21,F,1,8,high,4,illiterate,True,,Sikh
Student_176,S100176,2005-03-03,M,1,12,high,7,secondary,False,,Hindu
Student_177,S100177,2014-03-22,F,1,8,medium,9,illiterate,True,,Christian
Student_178,S100178,2011-06-21,F,1,7,low,2,primary,False,,Sikh
Student_179,S100179,2013-02-09,F,1,11,medium,5,college,False,General,Muslim
Student_180,S100180,2006-03-28,M,1,9,low,9,illiterate,False,OBC,Hindu
Student_181,S100181,2013-09-10,F,1,12,low,4,secondary,True,SC,Muslim
Student_182,S100182,2007-04-26,F,1,6,medium,10,college,False,General,Buddhist
Student_183,S100183,2007-10-03,M,1,8,medium,9,college,False,General,Buddhist
Student_184,S100184,2006-03-11,M,1,9,medium,10,secondary,True,,Buddhist
Student_185,S100185,2007-03-14,M,1,12,low,10,primary,False,ST,Muslim
Student_186,S100186,2010-12-08,F,1,10,medium,3,secondary,True,,Christian
Student_187,S100187,2007-11-10,M,1,10,high,4,college,True,ST,Buddhist
Student_188,S100188,2014-06-27,M,1,12,low,3,illiterate,False,ST,Buddhist
Student_189,S100189,2011-10-21,M,1,9,high,10,secondary,False,General,Muslim
Student_190,S100190,2015-07-10,F,1,6,high,2,primary,False,General,Sikh
Student_191,S100191,2012-04-11,M,1,8,high,7,secondary,False,ST,Christian
Student_192,S100192,2013-09-04,F,1,7,medium,3,secondary,False,ST,Muslim
Student_193,S100193,2006-01-10,F,1,12,high,8,primary,True,OBC,Buddhist
Student_194,S100194,2010-04-25,M,1,9,high,9,higher_secondary,False,General,Hindu
Student_195,S100195,2006-07-17,F,1,7,low,7,illiterate,True,OBC,Sikh
Student_196,S100196,2014-11-22,F,1,8,high,2,illiterate,False,ST,Christian
Student_197,S100197,2010-07-12,M,1,9,low,10,primary,False,,Christian
Student_198,S100198,2006-07-17,F,1,12,high,6,college,True,ST,Hindu
Student_199,S100199,2011-06-26,F,1,10,medium,4,primary,False,,Hindu
Student_200,S100200,2005-01-05,F,1,12,medium,10,higher_secondary,True,,Buddhist
Student_201,S100201,2007-06-20,F,1,7,medium,6,college,False,,Buddhist
Student_202,S100202,2013-08-23,F,1,9,low,7,secondary,True,General,Buddhist
Student_203,S100203,2009-12-28,M,1,10,medium,6,college,True,SC,Buddhist
Student_204,S100204,2012-03-17,F,1,7,high,5,illiterate,True,ST,Hindu
Student_205,S100205,2012-06-14,M,1,9,high,5,higher_secondary,False,SC,Muslim
Student_206,S100206,2013-04-18,F,1,11,medium,10,higher_secondary,False,ST,Sikh
Student_207,S100207,2013-06-18,F,1,11,high,6,college,False,ST,Muslim
Student_208,S100208,2009-09-10,M,1,8,medium,5,higher_secondary,False,General,Christian
Student_209,S100209,2013-12-09,F,1,6,high,10,higher_secondary,False,OBC,Muslim
Student_210,S100210,2009-01-10,M,1,8,medium,6,higher_secondary,True,ST,Buddhist
Student_211,S100211,2009-09-23,F,1,7,low,5,primary,True,,Muslim
Student_212,S100212,2015-04-02,M,1,9,medium,9,illiterate,True,SC,Buddhist
Student_213,S100213,2007-07-21,F,1,9,high,5,secondary,False,OBC,Hindu
Student_214,S100214,2006-11-19,M,1,10,high,2,primary,False,ST,Hindu
Student_215,S100215,2011-08-06,F,1,6,low,6,college,True,OBC,Christian
Student_216,S100216,2012-11-18,F,1,7,high,9,secondary,True,SC,Christian
Student_217,S100217,2007-12-15,F,1,11,low,2,secondary,False,,Muslim
Student_218,S100218,2007-10-28,F,1,12,medium,10,secondary,True,General,Hindu
Student_219,S100219,2007-03-16,F,1,7,low,6,higher_secondary,True,General,Christian
Student_220,S100220,2010-05-19,M,1,8,high,7,primary,True,SC,Sikh
Student_221,S100221,2009-03-13,F,1,11,low,6,secondary,True,ST,Muslim
Student_222,S100222,2012-03-15,F,1,9,high,10,higher_secondary,True,ST,Buddhist
Student_223,S100223,2006-09-15,F,1,6,high,3,illiterate,True,,Buddhist
Student_224,S100224,2007-03-11,F,1,6,high,5,college,False,SC,Buddhist
Student_225,S100225,2012-01-15,M,1,10,medium,9,college,True,,Sikh
Student_226,S100226,2015-05-24,M,1,9,medium,2,primary,True,SC,Sikh
Student_227,S100227,2010-12-03,M,1,6,medium,2,secondary,False,ST,Muslim
Student_228,S100228,2015-12-21,F,1,8,medium,9,higher_secondary,False,SC,Buddhist
Student_229,S100229,2007-11-28,F,1,6,low,10,higher_secondary,True,ST,Hindu
Student_230,S100230,2005-05-15,F,1,10,medium,5,primary,False,OBC,Muslim
Student_231,S100231,2009-04-24,M,1,6,high,8,college,True,ST,Muslim
Student_232,S100232,2006-02-20,M,1,9,high,2,primary,True,General,Sikh
Student_233,S100233,2008-09-07,M,1,7,high,6,primary,False,,Buddhist
Student_234,S100234,2015-06-08,F,1,7,high,10,primary,False,OBC,Christian
Student_235,S100235,2005-09-19,M,1,11,high,8,college,False,SC,Christian
Student_236,S100236,2015-11-13,F,1,11,medium,8,primary,False,General,Muslim
Student_237,S100237,2013-08-08,M,1,8,high,4,higher_secondary,True,,Sikh
Student_238,S100238,2011-09-17,M,1,9,low,6,primary,False,SC,Sikh
Student_239,S100239,2010-02-18,M,1,6,medium,8,college,True,SC,Muslim
Student_240,S100240,2014-12-22,M,1,9,low,7,secondary,True,ST,Muslim
Student_241,S100241,2006-12-25,F,1,7,high,5,higher_secondary,True,,Christian
Student_242,S100242,2009-07-15,F,1,8,medium,7,college,False,General,Hindu
Student_243,S100243,2012-06-07,F,1,8,medium,2,college,True,ST,Hindu
Student_244,S100244,2009-09-19,F,1,8,low,5,secondary,True,General,Buddhist
Student_245,S100245,2008-08-18,F,1,8,medium,9,higher_secondary,True,OBC,Muslim
Student_246,S100246,2007-12-18,F,1,7,high,2,college,True,SC,Hindu
Student_247,S100247,2005-07-05,M,1,6,high,4,illiterate,True,,Sikh
Student_248,S100248,2010-01-20,F,1,11,medium,2,illiterate,False,SC,Hindu
Student_249,S100249,2013-12-09,F,1,6,high,8,primary,True,SC,Buddhist
Student_250,S100250,2007-04-07,F,1,12,medium,6,higher_secondary,True,OBC,Sikh
Student_251,S100251,2012-10-08,M,1,8,high,3,illiterate,True,General,Sikh
Student_252,S100252,2011-09-16,M,1,11,low,4,illiterate,False,General,Christian
Student_253,S100253,2014-02-17,M,1,7,low,9,secondary,True,SC,Christian
Student_254,S100254,2013-10-22,M,1,7,medium,2,primary,True,General,Hindu
Student_255,S100255,2009-03-19,M,1,10,medium,10,secondary,False,ST,Hindu
Student_256,S100256,2013-12-12,M,1,6,medium,5,illiterate,False,,Buddhist
Student_257,S100257,2014-07-25,F,1,6,high,6,higher_secondary,False,ST,Christian
Student_258,S100258,2013-07-14,M,1,11,high,8,illiterate,False,ST,Hindu
Student_259,S100259,2006-05-05,F,1,11,high,4,higher_secondary,False,OBC,Hindu
Student_260,S100260,2006-01-10,F,1,8,medium,3,primary,True,ST,Sikh
Student_261,S100261,2012-09-18,F,1,6,low,3,secondary,True,,Buddhist
Student_262,S100262,2010-07-01,F,1,9,medium,3,college,True,,Buddhist
Student_263,S100263,2007-11-13,M,1,7,medium,6,secondary,False,ST,Hindu
Student_264,S100264,2007-07-09,F,1,8,medium,3,secondary,False,ST,Sikh
Student_265,S100265,2014-10-07,F,1,6,low,6,illiterate,False,OBC,Buddhist
Student_266,S100266,2011-06-15,F,1,9,high,4,secondary,False,,Muslim
Student_267,S100267,2012-06-06,F,1,8,medium,9,college,True,OBC,Sikh
Student_268,S100268,2009-07-12,M,1,10,low,10,primary,True,General,Muslim
Student_269,S100269,2012-05-27,M,1,12,medium,9,primary,False,ST,Christian
Student_270,S100270,2015-03-23,F,1,12,medium,3,higher_secondary,False,,Sikh
Student_271,S100271,2013-09-28,F,1,10,low,7,college,True,SC,Muslim
Student_272,S100272,2015-11-12,M,1,11,high,2,college,False,OBC,Sikh
Student_273,S100273,2006-01-04,F,1,7,high,10,college,True,General,Christian
Student_274,S100274,2011-08-25,M,1,8,low,9,illiterate,False,General,Hindu
Student_275,S100275,2006-12-05,F,1,8,medium,9,primary,False,OBC,Sikh
Student_276,S100276,2006-08-24,F,1,8,low,6,illiterate,True,SC,Christian
Student_277,S100277,2015-02-22,M,1,11,low,10,primary,True,OBC,Buddhist
Student_278,S100278,2011-08-08,F,1,11,low,4,higher_secondary,False,SC,Buddhist
Student_279,S100279,2008-08-19,F,1,9,low,5,primary,False,SC,Buddhist
Student_280,S100280,2006-09-06,F,1,8,low,9,illiterate,False,General,Buddhist
Student_281,S100281,2015-06-20,F,1,10,medium,3,secondary,False,General,Buddhist
Student_282,S100282,2007-11-23,F,1,10,high,3,primary,False,SC,Muslim
Student_283,S100283,2009-02-06,F,1,11,low,10,higher_secondary,False,,Muslim
Student_284,S100284,2014-07-14,M,1,9,high,10,primary,True,General,Christian
Student_285,S100285,2007-03-11,F,1,10,low,7,illiterate,False,ST,Muslim
Student_286,S100286,2011-09-17,F,1,9,high,9,higher_secondary,False,General,Muslim
Student_287,S100287,2006-10-01,M,1,8,low,6,primary,False,ST,Sikh
Student_288,S100288,2014-12-25,F,1,10,high,3,college,True,OBC,Buddhist
Student_289,S100289,2010-09-27,M,1,12,high,9,college,True,General,Hindu
Student_290,S100290,2015-04-10,M,1,9,medium,7,illiterate,False,SC,Muslim
Student_291,S100291,2008-12-19,F,1,12,high,8,primary,True,ST,Muslim
Student_292,S100292,2005-10-12,F,1,10,high,4,secondary,False,OBC,Buddhist
Student_293,S100293,2009-09-22,M,1,7,medium,2,secondary,True,ST,Muslim
Student_294,S100294,2007-12-11,M,1,12,high,8,higher_secondary,True,,Christian
Student_295,S100295,2015-07-13,F,1,6,high,3,higher_secondary,False,OBC,Sikh
Student_296,S100296,2012-06-19,M,1,12,high,3,higher_secondary,False,SC,Buddhist
Student_297,S100297,2011-04-14,M,1,9,medium,7,secondary,False,,Buddhist
Student_298,S100298,2007-10-28,F,1,12,medium,2,illiterate,True,General,Hindu
Student_299,S100299,2006-03-15,F,1,6,medium,5,primary,False,ST,Christian
Student_300,S100300,2006-11-12,F,1,6,medium,4,illiterate,False,OBC,Muslim
Student_301,S100301,2011-11-03,M,1,6,low,9,illiterate,True,,Muslim
Student_302,S100302,2013-11-15,M,1,6,high,7,illiterate,False,ST,Sikh
Student_303,S100303,2006-04-13,M,1,11,low,3,secondary,False,OBC,Muslim
Student_304,S100304,2011-03-21,M,1,6,high,2,college,True,General,Christian
Student_305,S100305,2008-11-24,M,1,9,high,9,primary,True,SC,Muslim
Student_306,S100306,2006-10-24,F,1,8,medium,7,primary,True,OBC,Hindu
Student_307,S100307,2008-09-20,F,1,12,high,2,secondary,True,,Buddhist
Student_308,S100308,2013-04-24,F,1,8,high,2,primary,False,General,Hindu
Student_309,S100309,2008-08-21,M,1,10,low,7,secondary,True,General,Buddhist
Student_310,S100310,2011-06-18,M,1,12,medium,3,illiterate,True,SC,Christian
Student_311,S100311,2008-01-02,F,1,10,medium,10,higher_secondary,False,General,Hindu
Student_312,S100312,2015-09-18,M,1,8,low,6,illiterate,True,ST,Buddhist
Student_313,S100313,2010-07-19,M,1,8,high,8,primary,True,ST,Hindu
Student_314,S100314,2011-02-15,M,1,8,high,4,illiterate,True,ST,Hindu
Student_315,S100315,2007-08-12,F,1,7,medium,4,secondary,True,SC,Christian
Student_316,S100316,2011-05-17,M,1,8,high,3,higher_secondary,False,,Christian
Student_317,S100317,2005-08-28,M,1,8,low,6,illiterate,True,ST,Buddhist
Student_318,S100318,2005-01-28,M,1,7,low,9,secondary,False,ST,Muslim
Student_319,S100319,2005-09-26,F,1,7,medium,5,higher_secondary,False,OBC,Hindu
Student_320,S100320,2014-06-04,M,1,7,low,10,illiterate,False,SC,Sikh
Student_321,S100321,2009-05-11,M,1,10,medium,2,secondary,True,OBC,Buddhist
Student_322,S100322,2009-12-20,M,1,9,medium,9,primary,True,ST,Hindu
Student_323,S100323,2011-01-08,F,1,11,high,2,secondary,True,General,Christian
Student_324,S100324,2006-04-17,M,1,9,medium,2,primary,False,SC,Hindu
Student_325,S100325,2008-09-14,F,1,9,high,3,college,True,,Muslim
Student_326,S100326,2015-07-03,M,1,9,high,4,primary,False,OBC,Christian
Student_327,S100327,2011-12-27,F,1,8,medium,6,primary,True,ST,Muslim
Student_328,S100328,2014-02-05,M,1,7,medium,9,secondary,False,SC,Buddhist
Student_329,S100329,2010-04-15,F,1,9,medium,3,illiterate,True,OBC,Buddhist
Student_330,S100330,2005-04-27,F,1,7,low,5,secondary,False,,Hindu
Student_331,S100331,2015-05-09,M,1,6,medium,9,college,True,SC,Sikh
Student_332,S100332,2006-03-04,M,1,6,low,4,primary,False,OBC,Hindu
Student_333,S100333,2014-10-09,M,1,6,low,5,higher_secondary,True,SC,Christian
Student_334,S100334,2006-01-15,M,1,7,high,8,higher_secondary,False,SC,Sikh
Student_335,S100335,2015-07-06,F,1,7,low,6,secondary,False,ST,Hindu
Student_336,S100336,2014-10-20,M,1,11,medium,9,higher_secondary,False,SC,Hindu
Student_337,S100337,2009-07-05,F,1,7,high,10,primary,True,General,Christian
Student_338,S100338,2012-09-26,F,1,8,high,10,secondary,False,OBC,Muslim
Student_339,S100339,2005-06-20,M,1,6,medium,2,higher_secondary,False,,Muslim
Student_340,S100340,2007-02-08,M,1,8,high,2,primary,False,OBC,Muslim
Student_341,S100341,2007-04-19,F,1,12,high,7,college,True,OBC,Buddhist
Student_342,S100342,2014-03-19,M,1,12,medium,10,secondary,True,General,Hindu
Student_343,S100343,2006-01-08,M,1,6,high,9,illiterate,False,,Muslim
Student_344,S100344,2007-06-23,M,1,12,medium,2,illiterate,True,,Muslim
Student_345,S100345,2006-09-28,F,1,6,medium,8,college,True,OBC,Christian
Student_346,S100346,2010-03-06,F,1,12,high,9,secondary,True,,Buddhist
